DateStart,DateEnd,Interval Days,GeoName,Keyword1_/m/015j7,Keyword2_/m/096tx
2012-01-01,2018-12-31,2557,Abilene-Sweetwater TX,99,1
2012-01-01,2018-12-31,2557,Albany GA,99,1
2012-01-01,2018-12-31,2557,Albany-Schenectady-Troy NY,92,8
2012-01-01,2018-12-31,2557,Albuquerque-Santa Fe NM,97,3
2012-01-01,2018-12-31,2557,Alexandria LA,98,2
2012-01-01,2018-12-31,2557,Alpena MI,100,0
2012-01-01,2018-12-31,2557,Amarillo TX,98,2
2012-01-01,2018-12-31,2557,Anchorage AK,97,3
2012-01-01,2018-12-31,2557,Atlanta GA,97,3
2012-01-01,2018-12-31,2557,Augusta GA,98,2
2012-01-01,2018-12-31,2557,Austin TX,96,4
2012-01-01,2018-12-31,2557,Bakersfield CA,97,3
2012-01-01,2018-12-31,2557,Baltimore MD,94,6
2012-01-01,2018-12-31,2557,Bangor ME,95,5
2012-01-01,2018-12-31,2557,Baton Rouge LA,98,2
2012-01-01,2018-12-31,2557,Beaumont-Port Arthur TX,98,2
2012-01-01,2018-12-31,2557,Bend OR,98,2
2012-01-01,2018-12-31,2557,"Billings, MT",98,2
2012-01-01,2018-12-31,2557,Biloxi-Gulfport MS,98,2
2012-01-01,2018-12-31,2557,Binghamton NY,94,6
2012-01-01,2018-12-31,2557,Birmingham AL,99,1
2012-01-01,2018-12-31,2557,Bluefield-Beckley-Oak Hill WV,99,1
2012-01-01,2018-12-31,2557,Boise ID,96,4
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,92,8
2012-01-01,2018-12-31,2557,Bowling Green KY,97,3
2012-01-01,2018-12-31,2557,Buffalo NY,91,9
2012-01-01,2018-12-31,2557,Burlington VT-Plattsburgh NY,91,9
2012-01-01,2018-12-31,2557,Butte-Bozeman MT,97,3
2012-01-01,2018-12-31,2557,Casper-Riverton WY,97,3
2012-01-01,2018-12-31,2557,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,95,5
2012-01-01,2018-12-31,2557,Champaign & Springfield-Decatur IL,96,4
2012-01-01,2018-12-31,2557,Charleston SC,98,2
2012-01-01,2018-12-31,2557,Charleston-Huntington WV,99,1
2012-01-01,2018-12-31,2557,Charlotte NC,98,2
2012-01-01,2018-12-31,2557,Charlottesville VA,96,4
2012-01-01,2018-12-31,2557,Chattanooga TN,99,1
2012-01-01,2018-12-31,2557,Cheyenne WY-Scottsbluff NE,97,3
2012-01-01,2018-12-31,2557,Chicago IL,93,7
2012-01-01,2018-12-31,2557,Chico-Redding CA,97,3
2012-01-01,2018-12-31,2557,Cincinnati OH,96,4
2012-01-01,2018-12-31,2557,Clarksburg-Weston WV,98,2
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,96,4
2012-01-01,2018-12-31,2557,Colorado Springs-Pueblo CO,97,3
2012-01-01,2018-12-31,2557,Columbia SC,98,2
2012-01-01,2018-12-31,2557,Columbia-Jefferson City MO,94,6
2012-01-01,2018-12-31,2557,Columbus GA,98,2
2012-01-01,2018-12-31,2557,Columbus OH,91,9
2012-01-01,2018-12-31,2557,Columbus-Tupelo-West Point MS,99,1
2012-01-01,2018-12-31,2557,Corpus Christi TX,98,2
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,96,4
2012-01-01,2018-12-31,2557,Davenport IA-Rock Island-Moline IL,96,4
2012-01-01,2018-12-31,2557,Dayton OH,96,4
2012-01-01,2018-12-31,2557,Denver CO,95,5
2012-01-01,2018-12-31,2557,Des Moines-Ames IA,96,4
2012-01-01,2018-12-31,2557,Detroit MI,91,9
2012-01-01,2018-12-31,2557,Dothan AL,99,1
2012-01-01,2018-12-31,2557,Duluth MN-Superior WI,97,3
2012-01-01,2018-12-31,2557,El Paso TX,96,4
2012-01-01,2018-12-31,2557,Elmira NY,96,4
2012-01-01,2018-12-31,2557,Erie PA,94,6
2012-01-01,2018-12-31,2557,Eugene OR,96,4
2012-01-01,2018-12-31,2557,Eureka CA,96,4
2012-01-01,2018-12-31,2557,Evansville IN,98,2
2012-01-01,2018-12-31,2557,Fairbanks AK,97,3
2012-01-01,2018-12-31,2557,Fargo-Valley City ND,92,8
2012-01-01,2018-12-31,2557,Flint-Saginaw-Bay City MI,96,4
2012-01-01,2018-12-31,2557,Florence-Myrtle Beach SC,98,2
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,96,4
2012-01-01,2018-12-31,2557,Ft. Myers-Naples FL,97,3
2012-01-01,2018-12-31,2557,Ft. Smith-Fayetteville-Springdale-Rogers AR,98,2
2012-01-01,2018-12-31,2557,Ft. Wayne IN,96,4
2012-01-01,2018-12-31,2557,Gainesville FL,96,4
2012-01-01,2018-12-31,2557,Glendive MT,100,0
2012-01-01,2018-12-31,2557,Grand Junction-Montrose CO,98,2
2012-01-01,2018-12-31,2557,Grand Rapids-Kalamazoo-Battle Creek MI,97,3
2012-01-01,2018-12-31,2557,Great Falls MT,98,2
2012-01-01,2018-12-31,2557,Green Bay-Appleton WI,97,3
2012-01-01,2018-12-31,2557,Greensboro-High Point-Winston Salem NC,97,3
2012-01-01,2018-12-31,2557,Greenville-New Bern-Washington NC,98,2
2012-01-01,2018-12-31,2557,Greenville-Spartanburg SC-Asheville NC-Anderson SC,98,2
2012-01-01,2018-12-31,2557,Greenwood-Greenville MS,100,0
2012-01-01,2018-12-31,2557,Harlingen-Weslaco-Brownsville-McAllen TX,99,1
2012-01-01,2018-12-31,2557,Harrisburg-Lancaster-Lebanon-York PA,96,4
2012-01-01,2018-12-31,2557,Harrisonburg VA,97,3
2012-01-01,2018-12-31,2557,Hartford & New Haven CT,92,8
2012-01-01,2018-12-31,2557,Hattiesburg-Laurel MS,99,1
2012-01-01,2018-12-31,2557,Helena MT,98,2
2012-01-01,2018-12-31,2557,Honolulu HI,98,2
2012-01-01,2018-12-31,2557,Houston TX,95,5
2012-01-01,2018-12-31,2557,Huntsville-Decatur (Florence) AL,99,1
2012-01-01,2018-12-31,2557,Idaho Falls-Pocatello ID,95,5
2012-01-01,2018-12-31,2557,Indianapolis IN,97,3
2012-01-01,2018-12-31,2557,Jackson MS,99,1
2012-01-01,2018-12-31,2557,Jackson TN,99,1
2012-01-01,2018-12-31,2557,Jacksonville FL,97,3
2012-01-01,2018-12-31,2557,Johnstown-Altoona PA,97,3
2012-01-01,2018-12-31,2557,Jonesboro AR,98,2
