GSS_AREA_from_Amy,DMA_AREA,DMA_CO,CBSA_CODE,cbsatitle,countyname,
"Albany-Schenectady-Troy, NY",Albany-Schenectady-Troy NY,3,10580,949,,
"Anchorage, AK",Anchorage AK,8,11260,968,,
"Bakersfield CA* (Kern county, CA)",Bakersfield CA,12,12540,888,888,
"Binghamton, NY",Binghamton NY,21,13780,1028,,
"Cincinnati, OH-KY-IN",Cincinnati OH,41,17140,1106,,
"Columbia, SC",Columbia SC,45,17900,1125,,
"Columbus, GA-AL",Columbus GA,47,17980,1127,,
"Columbus, OH",Columbus OH,48,18140,1131,,
"Corpus Christi, TX",Corpus Christi TX,50,18580,1141,,
"Dayton, OH",Dayton OH,53,19380,1160,,
"Eugene, OR",Eugene OR,62,21660,1215,,
"Evansville, IN-KY",Evansville IN,64,21780,1218,,
"Fort Wayne, IN",Ft. Wayne IN,71,23060,1250,,
"Great Falls, MT",Great Falls MT,76,24500,1281,,
"Jacksonville, FL",Jacksonville FL,94,27260,1349,,
"Kansas City, MO-KS",Kansas City MO,99,28140,1369,,
"Knoxville, TN",Knoxville TN,100,28940,1387,,
"Lafayette, LA",Lafayette LA,103,29180,1396,,
"Macon, GA",Macon GA,115,31420,1447,,
"Madison, WI",Madison WI,116,31540,1450,,
"Memphis, TN-MS-AR",Memphis TN,120,32820,1482,,
"Montgomery, AL",Montgomery (Selma) AL,130,33860,1508,,
"Oklahoma City, OK",Oklahoma City OK,137,36420,1568,,
"Pittsburgh, PA",Pittsburgh PA,148,38300,1615,,
"Rapid City, SD",Rapid City SD,155,39660,1645,,
"Rochester, NY",Rochester NY,160,40380,1663,,
"Salt Lake City, UT",Salt Lake City UT,164,41620,1685,,
"Savannah, GA",Savannah GA,170,42340,1700,,
"Sioux Falls, SD",Sioux Falls(Mitchell) SD,175,43620,1732,,
"Springfield, MO",Springfield MO,178,44180,1745,,
"Syracuse, NY",Syracuse NY,182,45060,1772,,
"Topeka, KS",Topeka KS,187,45820,1790,,
"Tucson, AZ",Tucson (Sierra Vista) AZ,190,46060,1796,,
"Victoria TX* (Victoria county, TX)",Victoria TX,196,47020,1739,1739,
"Wilmington, NC",Wilmington NC,206,48900,1858,,
"Albuquerque, NM",Albuquerque-Santa Fe NM,4,10740,953,,
"Atlanta-Sandy Springs-Roswell, GA",Atlanta GA,9,12060,988,,
"Columbia, SC",Augusta GA,10,17900,1125,,
"Austin-Round Rock, TX",Austin TX,11,12420,996,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Baltimore MD,13,37980,1607,,
"Baltimore-Columbia-Towson, MD",Baltimore MD,13,12580,999,,
"Cullman, AL",Birmingham AL,22,18980,1150,,
"Tuscaloosa, AL",Birmingham AL,22,46220,1800,,
"Birmingham-Hoover, AL",Birmingham AL,22,13820,1029,,
"Worcester, MA-CT",Boston MA-Manchester NH,25,49340,1867,,
"Boston-Cambridge-Newton, MA-NH",Boston MA-Manchester NH,25,14460,1045,,
"Manchester-Nashua, NH",Boston MA-Manchester NH,25,31700,1454,,
"Rochester, NY",Buffalo NY,27,40380,1663,,
"Buffalo-Cheektowaga-Niagara Falls, NY",Buffalo NY,27,15380,1065,,
"Burlington-South Burlington, VT",Burlington VT-Plattsburgh NY,28,15540,1069,,
"Charleston-North Charleston, SC",Charleston SC,33,16700,1097,,
"Parkersburg-Vienna, WV",Charleston-Huntington WV,34,37620,1597,,
"Point Pleasant, WV-OH",Charleston-Huntington WV,34,38580,1622,,
"Hickory-Lenoir-Morganton, NC",Charlotte NC,35,25860,1314,,
"Charlotte-Concord-Gastonia, NC-SC",Charlotte NC,35,16740,1098,,
"Chicago-Naperville-Elgin, IL-IN-WI",Chicago IL,39,16980,1103,,
"Chico, CA",Chico-Redding CA,40,17020,1104,,
"Cleveland-Elyria, OH",Cleveland-Akron (Canton) OH,43,17460,1115,,
"Akron, OH",Cleveland-Akron (Canton) OH,43,10420,945,,
"Colorado Springs, CO",Colorado Springs-Pueblo CO,44,17820,1123,,
"Pueblo, CO",Colorado Springs-Pueblo CO,44,39380,1639,,
"Dallas-Fort Worth-Arlington, TX",Dallas-Ft. Worth TX,51,19100,1153,,
"Richmond, IN",Dayton OH,53,39980,1653,,
"Boulder, CO",Denver CO,54,14500,1046,,
"Denver-Aurora-Lakewood, CO",Denver CO,54,19740,1169,,
"Des Moines-West Des Moines, IA",Des Moines-Ames IA,55,19780,1170,,
"Detroit-Warren-Dearborn, MI",Detroit MI,56,19820,1171,,
"Bay City, MI",Flint-Saginaw-Bay City MI,67,13020,1010,,
"Flint, MI",Flint-Saginaw-Bay City MI,67,22420,1234,,
"Saginaw, MI",Flint-Saginaw-Bay City MI,67,40980,1679,,
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Florence-Myrtle Beach SC,68,34820,1531,,
"Fresno, CA",Fresno-Visalia CA,69,23420,1256,,
"Cape Coral-Fort Myers, FL",Ft. Wayne IN,71,15980,1080,,
"Grand Rapids-Wyoming, MI",Grand Rapids-Kalamazoo-Battle Creek MI,75,24340,1277,,
"Manitowoc, WI",Green Bay-Appleton WI,77,31820,1456,,
"Appleton, WI",Green Bay-Appleton WI,77,11540,975,,
"Green Bay, WI",Green Bay-Appleton WI,77,24580,1283,,
"Jacksonville, NC",Greenville-New Bern-Washington NC,79,27340,1351,,
"McAllen-Edinburg-Mission, TX",Harlingen-Weslaco-Brownsville-McAllen TX,82,32580,1476,,
"York-Hanover, PA",Harrisburg-Lancaster-Lebanon-York PA,83,49620,1872,,
"Harrisburg-Carlisle, PA",Harrisburg-Lancaster-Lebanon-York PA,83,25420,1302,,
"Worcester, MA-CT",Hartford & New Haven CT,85,49340,1867,,
"Hartford-West Hartford-East Hartford, CT",Hartford & New Haven CT,85,25540,1305,,
"New Haven-Milford, CT",Hartford & New Haven CT,85,35300,1541,,
"Houston-The Woodlands-Sugar Land, TX",Houston TX,89,26420,1327,,
"Huntsville, AL",Huntsville-Decatur (Florence) AL,90,26620,1333,,
"Indianapolis-Carmel-Anderson, IN",Indianapolis IN,92,26900,1340,,
"Eau Claire, WI",La Crosse-Eau Claire WI,101,20740,1194,,
"Jackson, MI",Lansing MI,105,27100,1345,,
"Lansing-East Lansing, MI",Lansing MI,105,29620,1404,,
"Las Vegas-Henderson-Paradise, NV",Las Vegas NV,107,29820,1409,,
"Pine Bluff, AR",Little Rock-Pine Bluff AR,111,38220,1613,,
"Little Rock-North Little Rock-Conway, AR",Little Rock-Pine Bluff AR,111,30780,1432,,
"Riverside-San Bernardino-Ontario, CA",Los Angeles CA,112,40140,1657,,
"Los Angeles-Long Beach-Anaheim, CA",Los Angeles CA,112,31080,1440,,
"Louisville/Jefferson County, KY-IN",Louisville KY,113,31140,1441,,
"Escanaba, MI",Marquette MI,118,21540,1212,,
"Miami-Fort Lauderdale-West Palm Beach, FL",Miami-Ft. Lauderdale FL,122,33100,1489,,
"Chicago-Naperville-Elgin, IL-IN-WI",Milwaukee WI,123,16980,1103,,
"Racine, WI",Milwaukee WI,123,39540,1643,,
"Sheboygan, WI",Milwaukee WI,123,43100,1719,,
"Milwaukee-Waukesha-West Allis, WI",Milwaukee WI,123,33340,1495,,
"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis-St. Paul MN,124,33460,1498,,
"Pensacola-Ferry Pass-Brent, FL",Mobile AL-Pensacola (Ft. Walton Beach) FL,127,37860,1604,,
"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville TN,131,34980,1535,,
"Allentown-Bethlehem-Easton, PA-NJ",New York NY,133,10900,959,,
"Bridgeport-Stamford-Norwalk, CT",New York NY,133,14860,1055,,
"New York-Newark-Jersey City, NY-NJ-PA",New York NY,133,35620,1546,,
"Virginia Beach-Norfolk-Newport News, VA-NC",Norfolk-Portsmouth-Newport News VA,134,47260,1822,,
"Big Spring, TX",Odessa-Midland TX,136,13700,1026,,
"Enid, OK",Oklahoma City OK,137,21420,1209,,
"Orlando-Kissimmee-Sanford, FL",Orlando-Daytona Beach-Melbourne FL,139,36740,1576,,
"Riverside-San Bernardino-Ontario, CA",Palm Springs CA,142,40140,1657,,
"Parkersburg-Vienna, WV",Parkersburg WV,144,37620,1597,,
"Allentown-Bethlehem-Easton, PA-NJ",Philadelphia PA,146,10900,959,,
"Atlantic City-Hammonton, NJ",Philadelphia PA,146,12100,989,,
"Reading, PA",Philadelphia PA,146,39740,1647,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia PA,146,37980,1607,,
"Phoenix-Mesa-Scottsdale, AZ",Phoenix AZ,147,38060,1609,,
"Portland-Vancouver-Hillsboro, OR-WA",Portland OR,149,38900,1630,,
"Providence-Warwick, RI-MA",Providence RI-New Bedford MA,152,39300,1637,,
"Durham-Chapel Hill, NC",Raleigh-Durham (Fayetteville) NC,154,20500,1188,,
"Goldsboro, NC",Raleigh-Durham (Fayetteville) NC,154,24140,1272,,
"Richmond, VA",Richmond-Petersburg VA,157,40060,1654,,
"Blacksburg-Christiansburg-Radford, VA",Roanoke-Lynchburg VA,158,13980,1033,,
"Lynchburg, VA",Roanoke-Lynchburg VA,158,31340,1445,,
"Sacramento--Roseville--Arden-Arcade, CA",Sacramento-Stockton-Modesto CA,162,40900,1677,,
"Modesto, CA",Sacramento-Stockton-Modesto CA,162,33700,1504,,
"Provo-Orem, UT",Salt Lake City UT,164,39340,1638,,
"San Antonio-New Braunfels, TX",San Antonio TX,166,41700,1687,,
"Santa Rosa, CA",San Francisco-Oakland-San Jose CA,168,42220,1697,,
"San Francisco-Oakland-Hayward, CA",San Francisco-Oakland-San Jose CA,168,41860,1689,,
"Bellingham, WA",Seattle-Tacoma WA,171,13380,1019,,
"Seattle-Tacoma-Bellevue, WA",Seattle-Tacoma WA,171,42660,1708,,
"Spokane-Spokane Valley, WA",Spokane WA,177,44060,1742,,
"Fort Leonard Wood, MO",Springfield MO,178,22780,1242,,
"Springfield, MA",Springfield-Holyoke MA,179,44140,1744,,
"Ithaca, NY",Syracuse NY,182,27060,1344,,
"Lakeland-Winter Haven, FL",Tampa-St. Petersburg (Sarasota) FL,184,29460,1400,,
"Tampa-St. Petersburg-Clearwater, FL",Tampa-St. Petersburg (Sarasota) FL,184,45300,1777,,
"Johnson City, TN",Tri-Cities TN-VA,189,27740,1360,,
"Waco, TX",Waco-Temple-Bryan TX,197,47380,1825,,
"Cumberland, MD-WV",Washington DC (Hagerstown MD),198,19060,1152,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington DC (Hagerstown MD),198,47900,1837,,
"Miami-Fort Lauderdale-West Palm Beach, FL",West Palm Beach-Ft. Pierce FL,201,33100,1489,,
"Weirton-Steubenville, WV-OH",Wheeling WV-Steubenville OH,202,48260,1845,,
"Wheeling, WV-OH",Wheeling WV-Steubenville OH,202,48540,1850,,
"Wichita Falls, TX",Wichita Falls TX & Lawton OK,203,48660,1852,,
"Allentown-Bethlehem-Easton, PA-NJ",Wilkes Barre-Scranton PA,205,10900,959,,
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Wilmington NC,206,34820,1531,,
"Kennewick-Richland, WA",Yakima-Pasco-Richland-Kennewick WA,207,28420,1375,,
"Youngstown-Warren-Boardman, OH-PA",Youngstown OH,208,49660,1873,,
