,DMA_AREA,GTBible,GTQuran,GTCatholic_Church,GTMosque,GTChristianity,GTMuslim,cbsatitle,GSSProtestantRate,GSSCatholicRate,GSSJewishRate,GSSBuddaismRate,GSSMuslimRate,GSS_AREA_from_Amy,DMA_CO,CBSA_CODE
0,Abilene-Sweetwater TX,99.0,1.0,90.66666666666669,9.333333333333334,89.0,11.0,,,,,,,,,
1,Albany GA,99.0,1.0,87.66666666666669,12.333333333333336,87.0,13.0,,,,,,,,,
2,Albany-Schenectady-Troy NY,92.0,8.0,81.33333333333333,18.666666666666668,71.0,29.0,949.0,0.368055556,0.45833333299999995,0.027777778,0.0,0.0,"Albany-Schenectady-Troy, NY",3.0,10580.0
3,Albuquerque-Santa Fe NM,97.0,3.0,91.66666666666669,8.333333333333334,84.0,16.0,953.0,0.42352941200000005,0.21176470600000002,0.011764706000000002,0.035294118,0.0,"Albuquerque, NM",4.0,10740.0
4,Alexandria LA,98.66666666666669,1.3333333333333333,94.66666666666669,5.333333333333333,86.0,14.0,,,,,,,,,
5,Alpena MI,100.0,0.0,93.66666666666669,6.333333333333332,86.0,14.0,,,,,,,,,
6,Amarillo TX,98.0,2.0,93.33333333333331,6.666666666666668,87.0,13.0,,,,,,,,,
7,Anchorage AK,97.0,3.0,87.66666666666669,12.333333333333336,81.0,19.0,968.0,0.5,0.12222222199999999,0.0,0.0,0.011111111000000002,"Anchorage, AK",8.0,11260.0
8,Atlanta GA,97.0,3.0,73.33333333333333,26.66666666666667,82.0,18.0,988.0,0.725581395,0.111627907,0.012790698,0.001162791,0.008139535,"Atlanta-Sandy Springs-Roswell, GA",9.0,12060.0
9,Augusta GA,98.0,2.0,86.66666666666669,13.333333333333336,86.0,14.0,1125.0,0.868613139,0.072992701,0.00729927,0.0,0.0,"Columbia, SC",10.0,17900.0
10,Austin TX,96.0,4.0,82.33333333333333,17.666666666666668,79.0,21.0,996.0,0.5130434779999999,0.25652173899999997,0.0,0.0,0.004347826,"Austin-Round Rock, TX",11.0,12420.0
11,Bakersfield CA,97.0,3.0,90.0,10.0,85.0,15.0,888.0,,,,,,"Bakersfield CA* (Kern county, CA)",12.0,12540.0
12,Baltimore MD,93.33333333333331,6.666666666666668,76.0,24.0,73.0,27.0,1607.0,0.42762063200000006,0.35191347799999995,0.043261231,0.004159734,0.007487521,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",13.0,37980.0
13,Baltimore MD,93.33333333333331,6.666666666666668,76.0,24.0,73.0,27.0,999.0,0.560546875,0.208984375,0.091796875,0.00390625,0.0,"Baltimore-Columbia-Towson, MD",13.0,12580.0
