cbsatitle,ProtestantRate,CatholicRate,JewishRate,BuddaismRate,MuslimRate
1033,0.713235294,0.073529412,0.007352941,0,0.003676471
1597,0.617977528,0.213483146,0,0,0
1028,0.345864662,0.323308271,0.007518797,0,0.015037594
1630,0.576555024,0.157894737,0.009569378,0,0
1351,0.61971831,0.112676056,0.014084507,0,0
1360,0.945454545,0.03030303,0,0,0
1212,0.490909091,0.2,0,0,0
1125,0.868613139,0.072992701,0.00729927,0,0
1447,0.671052632,0.065789474,0,0,0
1508,0.770833333,0.0625,0.03125,0.010416667,0.010416667
1127,0.88372093,0.023255814,0.007751938,0,0
1188,0.675675676,0.094594595,0.006756757,0.006756757,0.006756757
1314,0.880149813,0.04494382,0,0.003745318,0
1333,0.790123457,0.012345679,0,0,0
1744,0.307291667,0.536458333,0.026041667,0.005208333,0
1613,0.868421053,0.026315789,0,0,0.006578947
1645,0.584158416,0.247524752,0,0,0
1654,0.778920308,0.107969152,0.005141388,0,0
1700,0.671052632,0.111842105,0.006578947,0,0.013157895
1822,0.72027972,0.132867133,0.01048951,0,0
1852,0.917910448,0.052238806,0,0,0
1858,0.786666667,0.12,0.013333333,0,0
988,0.725581395,0.111627907,0.012790698,0.001162791,0.008139535
1069,0.296,0.512,0,0,0
1104,0.255555556,0.177777778,0.011111111,0.011111111,0
1150,0.956521739,0.008695652,0,0,0
1387,0.864516129,0.04516129,0.001612903,0,0
1482,0.745341615,0.124223602,0.01242236,0,0
1531,0.789473684,0.118421053,0,0,0
1576,0.651452282,0.145228216,0.024896266,0,0.004149378
1637,0.317241379,0.579310345,0.013793103,0,0
1685,0.542372881,0.06779661,0,0,0
1745,0.756521739,0.086956522,0.008695652,0,0
1825,0.756457565,0.15498155,0.007380074,0,0
1867,0.299516908,0.519323671,0.012077295,0.004830918,0
1019,0.528089888,0.179775281,0,0.005617978,0
1097,0.697947214,0.134897361,0.035190616,0.002932551,0
1123,0.525423729,0.141242938,0,0.005649718,0.005649718
1215,0.641025641,0.076923077,0.019230769,0,0
1340,0.696202532,0.117088608,0.03164557,0,0
1772,0.37755102,0.448979592,0.010204082,0,0
1872,0.610810811,0.167567568,0.005405405,0.005405405,0.005405405
959,0.596296296,0.27037037,0.007407407,0.003703704,0
968,0.5,0.122222222,0,0,0.011111111
1152,0.607142857,0.125,0,0,0
1170,0.655256724,0.200488998,0.004889976,0.007334963,0.004889976
1277,0.684807256,0.195011338,0.004535147,0,0
1345,0.736486486,0.158783784,0,0,0
1349,0.722222222,0.19047619,0.015873016,0,0
1375,0.493670886,0.284810127,0,0,0
1400,0.809782609,0.157608696,0,0,0
1409,0.246575342,0.328767123,0.02739726,0.01369863,0
1441,0.438202247,0.303370787,0,0,0
1489,0.440806045,0.295969773,0.070528967,0,0.003778338
1535,0.78700361,0.084837545,0.010830325,0.001805054,0.003610108
1568,0.760084926,0.116772824,0.002123142,0.002123142,0.002123142
1604,0.830357143,0.116071429,0,0,0
1663,0.454976303,0.355450237,0.018957346,0.004739336,0.002369668
1697,0.548780488,0.286585366,0.030487805,0,0
949,0.368055556,0.458333333,0.027777778,0,0
996,0.513043478,0.256521739,0,0,0.004347826
1010,0.592105263,0.289473684,0,0,0
1131,0.621487603,0.188429752,0.019834711,0,0.004958678
1153,0.672309553,0.148730351,0.012091898,0.00120919,0
1160,0.727891156,0.156462585,0.013605442,0,0
1607,0.427620632,0.351913478,0.043261231,0.004159734,0.007487521
1026,0.671641791,0.223880597,0,0,0
1046,0.620689655,0.144827586,0.020689655,0.006896552,0
1115,0.463898917,0.373646209,0.018050542,0.001805054,0.003610108
1171,0.501557632,0.298026999,0.01973001,0.002076843,0.007268951
1194,0.513513514,0.310810811,0.004504505,0,0
1256,0.519337017,0.284530387,0.011049724,0.002762431,0.002762431
1327,0.585635359,0.249723757,0.014364641,0,0.003314917
1369,0.760147601,0.129151292,0.003690037,0,0
1677,0.510460251,0.192468619,0.016736402,0.0041841,0
1732,0.559139785,0.193548387,0,0,0.010752688
1742,0.409638554,0.108433735,0,0.012048193,0
1790,0.592417062,0.213270142,0,0,0.004739336
1796,0.433962264,0.339622642,0.018867925,0,0
953,0.423529412,0.211764706,0.011764706,0.035294118,0
1250,0.714912281,0.188596491,0,0.004385965,0
1456,0.407407407,0.548148148,0,0,0
1498,0.512618297,0.269716088,0.017350158,0.001577287,0.004731861
1609,0.501538462,0.264615385,0.015384615,0.004615385,0
1103,0.459183673,0.367346939,0.019387755,0.001530612,0.00255102
1106,0.503042596,0.249492901,0.010141988,0.006085193,0.004056795
1218,0.678571429,0.205357143,0,0,0
1450,0.558659218,0.268156425,0.027932961,0,0
1657,0.632653061,0.238095238,0.006802721,0,0
1687,0.26984127,0.428571429,0,0,0
1873,0.385321101,0.422018349,0,0.009174312,0
1141,0.443548387,0.459677419,0,0,0
1476,0.300653595,0.647058824,0,0,0
1615,0.474504249,0.389518414,0.005665722,0,0.001416431
1845,0.596273292,0.304347826,0,0,0
1396,0.375,0.5,0,0,0
1281,0.592307692,0.284615385,0,0,0
945,0.6953125,0.2265625,0.0078125,0,0
975,0.464,0.464,0.008,0,0
989,0.372093023,0.496124031,0.03875969,0,0
999,0.560546875,0.208984375,0.091796875,0.00390625,0
1029,0.917293233,0.027568922,0,0,0
1045,0.267339218,0.48297604,0.074401009,0.008827238,0.001261034
1055,0.39516129,0.379032258,0.048387097,0,0
1065,0.4,0.459574468,0.021276596,0.004255319,0
1080,0.597826087,0.25,0.02173913,0,0
1098,0.818330606,0.080196399,0.009819967,0.003273322,0
1169,0.472413793,0.205172414,0.032758621,0.013793103,0.001724138
1209,0.723577236,0.113821138,0,0,0
1234,0.694214876,0.239669421,0,0,0
1242,0.465909091,0.147727273,0,0.011363636,0
1272,0.783783784,0.081081081,0.013513514,0.013513514,0
1283,0.353658537,0.457317073,0,0,0
1302,0.732283465,0.212598425,0,0,0
1305,0.282511211,0.569506726,0.02690583,0,0
1344,0.290697674,0.162790698,0.104651163,0.034883721,0
1404,0.466666667,0.266666667,0.019047619,0,0.004761905
1432,0.864,0.104,0,0,0
1440,0.388743455,0.30017452,0.046247818,0.006544503,0.002617801
1445,0.859060403,0.067114094,0.013422819,0,0
1454,0.356725146,0.549707602,0,0,0
1495,0.439393939,0.393939394,0.007575758,0,0
1504,0.41025641,0.341880342,0,0,0
1541,0.381395349,0.469767442,0.037209302,0,0.009302326
1543,0.491428571,0.345714286,0.034285714,0,0.002857143
1546,0.299065421,0.431169487,0.087900985,0.003536247,0.008082849
1622,0.783783784,0.040540541,0,0,0
1638,0.927083333,0.020833333,0,0,0
1639,0.476923077,0.392307692,0.007692308,0.007692308,0
1643,0.601503759,0.308270677,0,0,0
1647,0.742857143,0.2,0.028571429,0,0
1653,0.638554217,0.072289157,0,0,0.012048193
1679,0.650485437,0.27184466,0.009708738,0,0
1688,0.422138837,0.30956848,0.013133208,0.003752345,0.005628518
1689,0.361620795,0.288990826,0.025229358,0.014525994,0.002293578
1694,0.418803419,0.205128205,0.034188034,0,0
1706,0.650306748,0.171779141,0.006134969,0,0
1708,0.498704663,0.174870466,0.011658031,0.002590674,0.002590674
1719,0.553398058,0.233009709,0,0.009708738,0
1750,0.593055556,0.275,0.020833333,0.001388889,0.002777778
1777,0.572301426,0.240325866,0.00814664,0.00203666,0
1800,0.798611111,0.048611111,0.006944444,0,0
1837,0.531850354,0.225480283,0.03437816,0.003033367,0.009100101
1850,0.806666667,0.166666667,0,0,0
